Variable,N,Mean,Median,Std,Min,Max,Skewness,Kurtosis,CV%,IQR,P25,P75
survey_year,50000,2024.6992,2025.0,0.9426649098925062,2023.0,2026.0,-0.22357611318175105,-0.8542420344193853,0.04655826948973488,1.0,2024.0,2025.0
age_years,50000,26.97276,27.0,6.095089907853673,18.0,53.0,0.44098693269465267,-0.4340102708441753,22.597205135305668,9.0,22.0,31.0
years_on_platform,50000,1.87342,2.0,1.5750959088710892,0.0,8.0,0.5870244040688019,-0.28512717255385445,84.07596315140701,3.0,0.0,3.0
daily_hours_worked,50000,9.183536,9.2,2.2667581477859544,4.0,17.0,0.049898033719649064,-0.23024244113702164,24.6828470840203,3.0999999999999996,7.6,10.7
orders_or_rides_per_day,50000,15.93862,16.0,6.532526767929809,2.0,45.0,0.3365439016829038,-0.1523433054397736,40.98552301221692,9.0,11.0,20.0
weekly_days_off,50000,0.90412,1.0,0.6255995948664465,0.0,2.0,0.07178159054130362,-0.48224683946593494,69.1943099219624,0.0,1.0,1.0
monthly_fuel_cost_inr,50000,3301.25564,3235.0,1611.1817449501143,1.0,10025.0,0.1397658553910591,0.6576003225926863,48.80511904101175,1564.0,2507.0,4071.0
monthly_emi_burden_inr,50000,1021.44188,0.0,1575.3228152418508,0.0,6706.0,1.0857485909541544,-0.4315617232621136,154.2253990253318,2511.0,0.0,2511.0
monthly_gross_income_inr,50000,15132.96266,12569.0,9449.183968907542,4500.0,62000.0,1.2272374333951928,1.4306113557074753,62.4410710659055,12406.0,7827.0,20233.0
monthly_net_income_inr,50000,10208.00076,7645.0,8537.98760227522,2000.0,59378.0,1.3328536370530863,1.790444292444033,83.64015445346831,11632.25,3182.75,14815.0
festive_peak_income_spike_pct,50000,28.032328,28.0,9.922026699857879,5.0,68.9,0.06330224264540268,-0.17320642976736833,35.39494365169343,13.599999999999998,21.2,34.8
dependents_count,50000,2.26088,2.0,1.2582898280864505,0.0,5.0,0.02885417844112289,-0.46442714187910106,55.65487014288466,2.0,1.0,3.0
platform_rating_out_of_5,50000,4.100244,4.1,0.35881710586078414,2.5,5.0,-0.03158022163765803,-0.1074548999705156,8.751115930193036,0.3999999999999999,3.9,4.3
order_cancellation_rate_pct,50000,4.31137,4.2,2.7929177092937447,0.0,15.9,0.3358681954955606,-0.37852178771118705,64.78028351298416,4.0,2.2,6.2
digital_literacy_score_1_5,50000,2.73104,3.0,1.0771089646244867,1.0,5.0,0.17685647079399935,-0.5898111595084523,39.4395162511163,1.0,2.0,3.0
education_encoded,50000,2.86426,3.0,1.2530068048183374,0.0,6.0,0.1805947359290117,-0.047256724544983975,43.746266219489065,2.0,2.0,4.0
city_tier_encoded,50000,2.18632,2.0,0.7387934582246098,1.0,3.0,-0.3105771541051726,-1.1236731566270868,33.79164341105648,1.0,2.0,3.0
has_bank_account,50000,0.90936,1.0,0.28709935374496826,0.0,1.0,-2.851809798350525,6.133064446946108,31.571583723164455,0.0,1.0,1.0
has_upi,50000,0.67484,1.0,0.46843928433390614,0.0,1.0,-0.7465086713569619,-1.4427825164896015,69.414866388167,1.0,0.0,1.0
